#trace80	trace82	trace84	trace86
-6.8372483	-1.6578332	-3.961396	-5.0619526
-7.9322252	-2.2294333	-5.315455	-6.2390094
-6.7611365	-2.7919416	-5.3636165	-5.6485014
-4.8111935	-3.3631353	-4.8292923	-4.3904338
-3.5844955	-3.8463457	-4.7483058	-3.8668525
-3.3473611	-4.0313482	-5.0315084	-4.0534587
-3.5085235	-3.7299159	-5.1287336	-4.0629964
-3.8848741	-3.3037722	-5.152473	-3.4250906
-4.6235681	-3.3084002	-5.7983446	-2.2301645
-5.0549488	-3.6559546	-7.4409566	-0.79283726
-4.6678944	-3.89432	-9.5296192	0.43872297
-4.228169	-3.8973663	-10.743691	0.89428258
-4.3275094	-3.7071316	-10.410989	0.23740286
-4.6700983	-3.3141658	-9.314064	-1.3358716
-4.8244762	-2.8924181	-8.1415787	-3.157927
-4.6048298	-2.72124	-6.7793598	-4.5619388
-4.2415867	-2.6603947	-5.4953523	-5.291749
-4.0628161	-2.2922814	-4.879303	-5.1487851
-4.3325257	-1.811247	-4.9530978	-4.1694541
-5.1232257	-1.8211261	-5.2797194	-3.0616155
-5.8475995	-2.3318744	-5.5479364	-2.2095487
-5.7296047	-3.0140846	-5.6273665	-1.5264744
-4.7272453	-3.7883179	-5.4509645	-1.2814809
-3.5876076	-5.1051793	-5.2850275	-1.8786275
-3.1780427	-7.1862025	-5.3987951	-3.0709505
-4.0589018	-8.9098186	-5.6074276	-4.0278859
-5.9203787	-8.9686384	-5.7948093	-4.236043
-7.2489848	-7.6950216	-6.0016313	-3.8858228
-7.1590395	-6.3254714	-6.2661781	-3.460315
-6.6686754	-5.4116769	-6.4615993	-3.2686381
-6.6527481	-4.8999081	-6.1902618	-3.5211253
-6.5370941	-4.6231899	-5.4970779	-4.0437837
-5.8477168	-4.3124194	-4.8449755	-4.1816788
-5.2268348	-3.8765774	-4.3922377	-4.0809336
-5.0921817	-3.7182093	-4.0902586	-4.5086026
-5.0051908	-4.0805197	-3.8488319	-5.3548737
-4.8220592	-4.7917652	-3.5937283	-6.0106301
-4.9322262	-5.3510933	-3.5546284	-6.3929338
-5.415627	-5.1073799	-3.8189616	-6.6578913
-6.182889	-4.1985521	-3.9156516	-6.5896153
-7.4740052	-3.4347718	-3.652158	-6.1038404
-9.0726185	-3.5563347	-3.6456239	-5.6991053
-9.8581743	-4.5459013	-4.386858	-5.2344136
-9.2135191	-5.1573806	-5.2871189	-4.0198154
-8.112752	-4.4853292	-5.3456035	-2.7053359
-8.0091887	-3.1069551	-4.6251607	-2.4877653
-8.8885307	-2.1316845	-4.0796456	-2.9326105
-9.2212868	-2.2288361	-4.0078664	-2.9444492
-8.3464575	-3.1666565	-4.2561059	-2.5697474
-7.2221136	-3.9389427	-5.0238466	-2.3099234
-6.4863338	-3.7111647	-6.0385098	-2.2624876
-6.2275605	-2.6364408	-6.2832046	-2.3095522
-6.6753483	-1.6420087	-5.3899775	-2.0075796
-7.2140265	-1.4347175	-4.1052251	-1.3884829
-6.9003191	-1.8772829	-3.10638	-1.3847475
-6.0936508	-2.4300482	-2.7912416	-2.36427
-5.5973024	-2.8421969	-3.3233109	-3.3741467
-5.4032912	-3.1290526	-4.084393	-3.0012183
-5.3813434	-3.3532462	-4.6580362	-1.2867426
-5.495307	-3.7184613	-5.4432998	0.15764676
-5.6087208	-4.1570892	-6.571456	0.35794577
-5.8454723	-4.3380013	-7.4626694	-0.51415288
-6.1511774	-4.4271049	-7.4543805	-1.9958911
-6.0510626	-4.8010993	-6.5073457	-3.2110703
-5.4220324	-5.3664074	-5.4621291	-3.4850957
-4.8706136	-5.5214386	-5.2512856	-3.3047426
-4.8866987	-4.778759	-5.8935719	-3.4821205
-5.4095154	-3.4039567	-6.7853699	-4.0376878
-6.4395499	-2.2706928	-7.3895597	-4.4206319
-7.7754436	-1.9069626	-7.2219558	-4.2512469
-8.5548277	-2.0280466	-6.2811937	-3.6952024
-8.1317987	-2.4433572	-5.2203569	-3.2063363
-6.8310895	-3.3657391	-4.6059337	-2.9296699
-5.5069575	-4.3953648	-4.6842408	-2.8246126
-4.5803347	-4.5078139	-5.5644979	-3.269098
-4.2215662	-3.6156631	-6.9903374	-4.5443401
-4.5308366	-2.8860567	-8.2671585	-5.8173852
-4.8388929	-3.2648978	-8.9441767	-6.030889
-4.4953165	-4.442524	-9.079813	-5.3132739
-4.0523758	-5.3432031	-8.7551985	-4.5324969
-4.2325907	-5.3675394	-8.2320671	-3.9586406
-4.7632442	-4.6407065	-8.2711487	-3.0343637
-4.9500122	-3.8356624	-9.256546	-1.4527446
-4.6954622	-3.9222469	-10.353093	-0.040753726
-4.47261	-5.0908403	-10.372995	0.11658333
-4.4512043	-6.4677176	-9.4480162	-0.82806396
-4.4344115	-7.03269	-8.6007576	-2.0637631
-4.7377763	-6.4252729	-8.0469494	-3.0811021
-5.5323935	-5.5066504	-7.5139675	-3.5115559
-5.9604902	-5.6720743	-7.2318711	-3.2094095
-5.5214252	-7.1411557	-7.8317075	-2.2922161
-4.6761055	-8.8534641	-9.39713	-1.3384587
-3.8404169	-10.038156	-11.019742	-1.3179737
-3.4757416	-10.551284	-11.64656	-2.3879175
-4.3872313	-10.551333	-10.902184	-3.5141313
-6.4609985	-10.439317	-9.6032219	-3.9799516
-8.0167875	-10.307593	-8.5865088	-4.0861907
-7.7096238	-10.213373	-7.7866616	-3.996347
-6.1439009	-10.508425	-7.2022119	-3.3727126
-4.8763094	-11.223183	-6.7575188	-2.3544092
-4.6268578	-11.736924	-6.1942744	-1.5126255
-5.3242259	-11.382082	-5.8262229	-0.87220538
-6.5626984	-10.480494	-5.859004	-0.15502031
-7.7079601	-9.9445667	-6.0088496	0.3289755
-8.1746702	-10.157537	-6.3122053	0.15675803
-7.6864495	-10.403171	-7.2968473	-0.80220705
-6.8820915	-9.7328482	-8.9047012	-2.2532656
-6.7541208	-8.5056429	-9.8057718	-3.3551223
-7.2036057	-7.831265	-8.9955349	-3.5634689
-7.2985549	-7.8157706	-7.4582953	-2.8835988
-6.7901101	-7.8312364	-6.7728262	-1.7994673
-6.5976834	-7.7839069	-6.8427863	-1.1548334
-7.6311688	-8.1159058	-6.9736261	-1.0747007
-9.4495687	-8.8782663	-7.1731472	-0.8228786
-10.598338	-9.7247334	-7.3493552	-0.48944896
-10.356922	-10.586816	-7.2462564	-1.0601735
-9.096384	-11.313643	-7.1203499	-2.5115001
-7.7039146	-11.168178	-7.3068619	-3.8486993
-6.9273448	-9.9108582	-7.6491075	-4.541163
-6.5589151	-8.5714169	-7.9486594	-4.5214138
-6.1947389	-8.2594013	-8.4085054	-3.8319249
-6.2165289	-8.7716446	-9.205718	-3.0360878
-6.9160933	-8.8025503	-9.7066669	-2.878963
-7.8061028	-7.7603006	-9.3847866	-3.1703281
-8.4977751	-6.5405526	-8.6728649	-3.4362121
-9.2920923	-6.2198672	-7.7551484	-3.870676
-10.414087	-6.7973948	-6.9788065	-4.4684973
-11.141123	-7.5273333	-7.2304182	-4.92874
-10.784685	-7.8553467	-7.9930949	-4.8766999
-9.6055012	-7.7150865	-8.3291864	-4.084291
-8.2677784	-7.3362679	-8.71422	-2.8983235
-7.4214005	-7.1257391	-9.5835419	-1.6065493
-7.1580949	-7.2658277	-10.32961	-0.7529161
-6.8918829	-7.3369021	-10.245582	-1.1729598
-6.2756472	-7.0964146	-9.30404	-2.5988967
-5.909656	-7.0689898	-8.0221806	-3.7786696
-6.3522143	-7.2846742	-6.7872791	-3.986161
-6.7709398	-6.7803092	-5.9586754	-3.5913916
-6.2994919	-5.4325204	-5.8048754	-3.4180496
-5.49299	-4.4171276	-6.093359	-3.552845
-4.8342681	-4.6127372	-6.3881474	-3.3974757
-3.9177547	-5.6430125	-6.5672979	-2.8175535
-2.9308314	-6.4693017	-6.798357	-2.306036
-2.8068888	-6.4247742	-7.0096688	-2.2041221
-3.7418041	-5.3870106	-6.9683752	-2.2603679
-4.9801192	-3.8474669	-6.906899	-2.5552421
-5.4286318	-2.7989557	-7.2037601	-3.5698838
-4.8310595	-2.6792154	-7.6794972	-4.6712065
-4.4030876	-2.878989	-7.6994715	-5.0257196
-4.7552023	-2.5534387	-6.9801588	-5.4674368
-4.981523	-1.6962212	-6.1143026	-6.983274
-4.4734998	-1.177708	-5.5528378	-8.6500244
-3.8232052	-1.3964459	-5.0751643	-9.1195602
-3.7663713	-1.8746088	-4.8519711	-8.7151184
-4.2051001	-2.2102027	-5.2845893	-8.5036488
-4.76647	-2.0864389	-5.8872781	-8.5338955
-5.2103105	-1.3956325	-6.266232	-8.5492144
-5.2448292	-0.93452346	-6.7352386	-8.8730583
-5.1328101	-1.638476	-7.1166306	-9.9617186
-5.4545374	-2.9660082	-7.014493	-11.866755
-6.0685997	-3.6667943	-6.5915165	-13.968561
-6.2954268	-3.8928325	-6.2751899	-15.485026
-5.7015791	-4.1638131	-5.9736485	-16.116867
-4.5573435	-3.8897843	-5.2112145	-15.927135
-3.7433462	-3.0440092	-4.2398739	-15.368009
-3.9336584	-2.6192424	-4.1326447	-15.211366
-4.6739411	-2.9784656	-5.1460156	-15.908425
-4.682467	-3.5451128	-5.9513063	-17.40621
-3.4676893	-3.9446619	-5.747354	-18.735146
-1.9499848	-4.3827391	-5.2043428	-18.329805
-1.3570801	-4.4600916	-4.8822117	-15.905795
-2.2358444	-3.5987628	-4.5872087	-12.827543
-3.8171589	-2.508527	-4.2678428	-10.374822
-4.7167292	-2.1547389	-4.1605783	-8.919796
-4.6004596	-2.3224623	-4.0543303	-8.4081392
-3.9267023	-2.4857111	-3.6340303	-8.6608896
-3.0148048	-2.8126891	-3.3261275	-9.5291128
-2.3774037	-3.5394058	-3.7582955	-10.384235
-2.6178651	-4.485363	-4.8024602	-10.009312
-3.39166	-5.2897248	-5.8319254	-8.2874584
-3.9592059	-5.7525239	-6.3920932	-6.5346327
-4.4625139	-5.6098218	-6.4594002	-5.4931045
-4.9831553	-4.5623002	-6.4506254	-5.0344276
-4.9574518	-3.1327922	-6.6202903	-5.2245836
-4.5821962	-2.5178545	-6.7776918	-5.9489546
-4.6452465	-3.1635172	-6.7513609	-6.5318041
-5.1001301	-4.5103722	-6.5922122	-6.5034528
-5.4493608	-6.0722008	-6.3043981	-6.1012516
-5.5141397	-7.069262	-6.0066447	-5.7655621
-5.1079631	-6.7721496	-5.770463	-5.5750027
-4.3292041	-5.9703608	-5.5419602	-5.566092
-3.9020903	-6.0062828	-5.5691261	-5.9147749
-4.1176319	-7.4830141	-5.9326863	-6.4418302
-4.3176799	-10.19788	-6.1954265	-6.7160769
-4.16641	-12.970769	-6.0310006	-6.4466562
-4.3849216	-14.564522	-5.5197196	-5.6758657
-5.2910786	-14.957253	-5.1007881	-4.8685536
-6.0325875	-15.015466	-5.2386012	-4.3680844
-6.0954843	-15.382048	-5.8360424	-4.1590543
-5.8666825	-16.214411	-6.2548609	-4.2361293
-5.5995216	-17.192749	-6.120194	-4.4872255
-5.4900036	-17.316711	-5.8361597	-4.6035042
-5.6020503	-16.30312	-5.5217061	-4.6538033
-5.362042	-15.432593	-4.8659449	-5.013144
-4.6754308	-15.627212	-4.2051868	-5.6497903
-4.3266983	-16.235443	-3.8552566	-6.1205325
-4.724546	-16.309877	-3.4229341	-6.1289191
-5.6113172	-15.946413	-2.7302167	-5.8032284
-6.5492058	-15.766391	-2.292516	-5.6904736
-7.3288512	-15.671412	-2.3048279	-6.2291541
-8.2612734	-15.235207	-2.4856131	-7.2534943
-9.327693	-14.602296	-2.6527495	-8.1269598
-9.814805	-13.827355	-2.7211699	-8.1518469
-9.8920317	-12.603561	-2.8784208	-7.4882259
-10.280509	-11.138162	-3.1747637	-6.778543
-10.325987	-9.8806877	-3.3721209	-6.0911989
-9.1985321	-8.9268847	-3.419538	-5.6179318
-7.7218237	-8.4323483	-3.4184995	-5.6499271
-6.9005694	-8.5802851	-3.2920351	-5.460969
-6.3182125	-9.3318386	-3.0834587	-4.5879135
-5.2240601	-10.299208	-3.1399231	-3.9443834
-4.1505842	-10.666934	-3.1521235	-3.7598512
-4.35045	-10.184285	-2.579947	-3.4808264
-5.7713366	-9.7639818	-2.0193205	-3.1489751
-7.2061729	-10.1318	-2.3808839	-2.8103099
-7.75457	-11.102812	-3.3976765	-2.0310805
-7.290143	-11.704241	-3.9319715	-1.031328
-6.7695994	-11.072424	-3.713177	-0.95708799
-7.1359348	-9.6309738	-3.7049494	-2.2962401
-7.8970795	-8.3979778	-4.125833	-4.2114587
-7.9745827	-7.9063134	-4.2125554	-5.4426417
-7.0440722	-8.0341263	-3.9366074	-5.3615694
-5.9242325	-8.4017744	-3.7657173	-4.3530707
-5.7663627	-8.5358744	-3.970417	-3.1062527
-6.559629	-8.2552137	-4.8106842	-2.1440272
-7.1985354	-8.1610031	-5.9340472	-1.9265199
-6.8544817	-8.7140751	-6.382174	-2.3472922
-5.8271699	-9.1684036	-5.8301182	-2.7845769
-5.0061264	-8.8247309	-4.9190025	-3.1362438
-4.8307734	-8.5465593	-4.2435164	-3.7801971
-5.0052552	-9.4361258	-3.6761186	-4.7466726
-5.0585499	-11.122717	-3.114275	-5.776967
-4.8588519	-12.673509	-2.8154583	-6.4846168
-4.6636372	-13.73506	-3.1378195	-6.6806011
-4.9379811	-14.466607	-4.3112626	-6.6708179
-6.0061932	-15.151093	-5.8107176	-6.321218
-7.7233143	-15.303302	-6.8486724	-5.1432624
-9.3420858	-14.410779	-7.0817752	-3.5936012
-10.000211	-13.179457	-6.6566954	-2.2714584
-9.5585117	-12.606102	-6.1283169	-1.2161192
-8.4280863	-12.720279	-6.0625968	-0.48476952
-6.8574057	-12.626892	-6.6375084	-0.24152641
-5.2576427	-11.680617	-7.544827	-0.66448361
-4.1978664	-10.438949	-8.2104139	-1.5998816
-3.523066	-10.144311	-8.0099096	-2.2058408
-2.9266381	-11.076137	-6.9229021	-1.9440299
-2.9488542	-11.977892	-5.7351809	-1.5335491
-3.6845627	-11.55348	-5.1262054	-1.9631215
-4.4792614	-9.8477259	-5.1960583	-3.0094311
-5.0568409	-8.1162434	-5.4912634	-3.6493671
-5.2348633	-7.5137944	-5.5013795	-3.75126
-4.9715495	-8.1018763	-5.300786	-4.0174499
-4.6775403	-9.2485123	-5.1865301	-4.5262918
-4.380538	-10.275309	-5.1840844	-4.9556994
-3.8215668	-10.741158	-5.4734278	-5.3682041
-3.4567695	-10.476357	-6.2550492	-5.4886832
-4.2581439	-9.5316572	-7.3530192	-4.7725134
-6.5283747	-8.9137564	-8.1836443	-3.6099279
-9.1264706	-9.8368015	-7.9783959	-2.8130386
-10.522735	-11.544168	-6.7104325	-2.6736393
-10.339705	-12.096368	-5.2739429	-3.2813761
-9.3730593	-10.887751	-4.6909432	-4.3902893
-9.0085459	-9.2386751	-5.0819821	-5.3541455
-9.7576151	-8.9191771	-5.3770342	-6.0284696
-10.314919	-9.9103756	-4.8061438	-6.7360291
-9.6544428	-10.351026	-3.8681614	-7.0920048
-8.6885395	-9.1164284	-3.2754724	-6.4207172
-8.4154148	-7.1944041	-2.9386995	-5.3206029
-8.5750732	-5.9945488	-2.4265311	-4.7741327
-8.6845808	-5.7715545	-1.832917	-4.4422445
-8.3903284	-6.1457934	-1.8288746	-3.5326724
-7.6274762	-6.7243071	-2.5668278	-2.2899542
-6.8833623	-7.0128064	-3.2377748	-1.6663885
-6.4179306	-6.6161041	-3.2916274	-1.9116113
-6.2024021	-5.627738	-3.0662961	-2.491178
-6.2675176	-4.4857545	-3.0395222	-3.076216
-6.3474507	-3.8921945	-3.2360272	-3.5755196
-5.9011645	-4.3436079	-3.3650048	-3.8590689
-4.8796296	-5.4312329	-3.1628065	-3.9245613
-3.8794899	-6.6321058	-2.9510484	-3.6749368
-3.5380802	-7.6271811	-3.6694291	-3.0611298
-4.0029392	-7.950953	-5.4812813	-2.4743648
-4.8476014	-7.6594806	-7.214551	-2.2107692
-5.4853535	-7.0387826	-7.7840977	-2.043262
-5.6448855	-6.2297564	-7.16746	-1.7658961
-5.5593934	-5.7515211	-6.0316916	-1.7785904
-5.5983882	-5.8459811	-5.4346061	-2.4112976
-5.2623262	-5.8310051	-5.8583841	-3.0872571
-3.9726949	-5.3897886	-6.3142495	-3.326551
-2.6814008	-5.0420384	-5.8580179	-3.580616
-2.4002912	-5.0903192	-4.8216615	-4.3169584
-2.994422	-5.2517414	-3.8633258	-5.1240611
-4.1543045	-5.2594995	-3.2826567	-5.1574702
-5.3301172	-5.1807027	-3.1389303	-4.1583366
-5.6173663	-5.0011501	-3.5061688	-2.7771533
-5.0952911	-4.7325196	-4.2945957	-1.9380565
-4.6499872	-4.5605969	-5.0328579	-1.7409453
-4.4052296	-4.5789533	-5.5680838	-1.980895
-4.1796427	-4.73733	-6.1521015	-3.077693
-4.1790967	-4.9501538	-6.5998039	-4.8763199
-4.1830893	-5.092236	-6.5122075	-5.8786292
-3.7298911	-5.0484085	-5.8731413	-5.1354141
-3.0352759	-4.855032	-4.8664007	-3.543097
-2.7457843	-4.7972646	-3.6540318	-2.4486597
-3.0848048	-4.9335103	-2.6490223	-2.1420665
-3.5098424	-4.6501632	-2.662503	-2.1004224
-3.5534208	-3.9481857	-3.8047528	-2.1183839
-3.3047745	-3.9705999	-5.189724	-2.2282584
-3.0093069	-4.8944616	-6.1732488	-2.4548972
-3.0264583	-5.8073277	-6.5235748	-3.0510259
-3.4360864	-6.4054093	-6.0286674	-3.885386
-3.7171988	-6.7836866	-5.0433536	-4.495955
-3.5163717	-6.8639894	-4.4621582	-4.9412403
-3.0631561	-6.7922101	-4.5762877	-5.4445477
-2.4831054	-6.9353433	-4.7912192	-5.6152802
-1.9056849	-7.2042565	-4.8658066	-5.2078056
-1.7716776	-7.2645183	-5.1635351	-5.1027694
-2.172425	-6.9491806	-5.6867456	-5.7810616
-2.8832753	-6.1196847	-6.1289806	-6.4581118
-3.9386847	-5.2781649	-6.4350667	-6.9542437
-5.1331973	-5.1595683	-6.6617513	-7.6147447
-5.6671772	-5.398675	-6.6796446	-7.9165688
-5.142828	-5.1766419	-6.306417	-7.4297733
-3.9859476	-4.3910017	-5.6699853	-6.5779257
-2.6886191	-3.5878587	-5.1559105	-5.969861
-1.616537	-3.1777058	-4.8000021	-5.9334126
-1.0339329	-2.8640757	-4.3951015	-6.1922321
-1.0134797	-2.3560972	-3.9574366	-5.8702164
-1.2343711	-1.9418552	-3.5162284	-4.6058517
-1.2271495	-2.0459177	-3.2682335	-3.0904462
-1.0740974	-2.6459811	-3.4512713	-2.0723352
-1.0565629	-3.2855356	-3.6523991	-1.8240594
-1.1332482	-3.9026229	-3.7392278	-2.3293808
-1.3556215	-4.7838302	-4.0592794	-2.893822
-1.6735462	-5.5463152	-4.2409797	-2.9376221
-1.7287141	-5.8064919	-3.8611662	-2.8919044
-1.5355643	-5.9813886	-3.3632042	-3.1007769
-1.7461945	-6.3642325	-3.0620968	-3.5958385
-2.6684809	-6.6546712	-2.9269478	-4.2668338
-3.5417151	-6.5922294	-3.0897782	-4.5680375
-3.3881714	-6.2513242	-3.2987554	-4.3790874
-2.198482	-6.0291538	-3.1942008	-4.3545566
-0.87598753	-6.4021921	-3.133682	-4.9784298
-0.089348719	-7.3947072	-3.441824	-5.6882381
0.052308749	-8.7040014	-3.7400122	-5.6337852
-0.31531245	-10.137081	-3.5312631	-5.0010533
-0.87742347	-11.593714	-2.8184502	-4.8508811
-1.4293406	-12.948149	-2.2001579	-5.4089584
-1.9268121	-13.848656	-2.2729321	-5.7704749
-2.0773306	-13.773769	-3.0817966	-5.7829642
-1.4985397	-12.996541	-3.9729691	-6.110415
-0.36075571	-12.545598	-4.0155611	-6.7850008
0.53992844	-12.854461	-3.5772493	-7.5158792
0.55954701	-13.540498	-3.9986155	-8.3192787
-0.2076662	-13.936311	-5.1213193	-8.8440399
-1.3281382	-13.440029	-5.6513495	-8.8398428
-2.3699386	-12.39205	-5.2892222	-8.8262787
-2.8467515	-12.159389	-4.4831614	-9.1837292
-2.693665	-13.179186	-3.4212594	-9.6299314
-2.4124248	-14.235522	-2.9022839	-9.5177689
-2.3541868	-13.998962	-3.5914199	-8.3221121
-2.6209733	-12.135465	-4.1943703	-6.3847904
-3.2184122	-9.4505301	-3.4817648	-4.8451095
-3.8147957	-7.3237767	-2.4874332	-4.7748828
-4.1213155	-6.5609713	-2.3872533	-6.0752273
-4.1941547	-6.8551679	-2.7573869	-7.2786016
-4.2708387	-7.5905032	-3.0320294	-7.1351123
-4.6774979	-8.6080322	-3.388103	-5.9370246
-5.2847605	-10.204988	-3.7469771	-4.6460629
-5.4517679	-12.47087	-3.6149991	-4.1086049
-5.0969009	-14.570626	-3.1553469	-4.9278283
-5.004169	-15.683167	-3.0298491	-6.6996574
-5.7462449	-15.872716	-3.2628567	-7.9000936
-6.6075921	-15.711889	-3.45316	-7.5445151
-6.7137322	-15.643846	-3.9311249	-6.4009061
-5.9948916	-15.765757	-5.0573111	-5.470644
-4.8260107	-16.14126	-5.9185047	-4.8254972
-4.0660024	-16.658838	-5.5878148	-4.2304826
-4.2384634	-17.001228	-4.5069494	-3.7507985
-4.6748953	-16.784193	-3.6096427	-4.0925159
-4.655345	-15.594269	-3.4265602	-5.6144118
-4.6473141	-13.693338	-3.9487824	-7.1333623
-5.3594246	-12.039872	-4.5859637	-7.3870282
-6.2206206	-11.450759	-4.617331	-7.2270064
-6.1394868	-12.123928	-3.9078326	-8.275115
-5.1458383	-13.41095	-2.9987864	-10.193834
-4.0540743	-14.257344	-2.537235	-11.239944
-3.2309906	-13.955656	-2.6175704	-10.882451
-2.3848431	-12.506498	-2.8564236	-10.186331
-1.7152092	-10.910583	-2.9723363	-10.075821
-2.3320942	-10.300287	-2.8004823	-10.390681
-4.3193994	-10.748561	-2.3467958	-10.432783
-6.4087496	-11.733035	-2.2899382	-9.8831244
-7.8412075	-13.13531	-3.2346745	-9.0520029
-8.7970943	-14.842499	-4.3315663	-8.510273
-9.6257267	-16.127316	-4.6234736	-8.5104456
-10.253649	-16.341244	-4.4796562	-9.2983141
-10.331075	-15.915321	-4.2953162	-11.075565
-9.6493416	-15.793194	-3.9171629	-12.709219
-8.1089516	-16.395695	-3.5589404	-12.902614
-6.088027	-17.400246	-3.3672793	-12.244689
-4.5633845	-18.198502	-3.06125	-11.704477
-4.1887913	-18.662188	-2.6731825	-11.239299
-4.5200768	-19.244623	-2.4089026	-10.705704
-4.6798878	-20.02091	-2.1660712	-10.389398
-4.4315581	-20.368483	-1.6963311	-10.763103
-3.9330506	-19.988678	-1.3935004	-11.812184
-3.3329904	-19.176336	-2.1811287	-12.494407
-3.0366948	-18.279842	-4.2459011	-11.868109
-3.3239524	-17.267471	-7.0486431	-10.436068
-3.8970478	-16.02158	-9.9278364	-9.0982533
-4.1137066	-14.851501	-12.236997	-7.970119
-3.8564601	-14.302588	-13.497029	-6.9571924
-3.7980492	-14.707715	-13.449693	-6.1710525
-4.3241916	-15.633302	-12.209047	-5.8225083
-4.792531	-16.137527	-10.514525	-6.1963768
-4.4168911	-15.896095	-9.319582	-7.0731449
-3.539288	-15.449152	-9.0620222	-7.5846496
-3.1506593	-15.213836	-9.579978	-7.2504892
-3.2563944	-14.792462	-10.360682	-6.609242
-2.9819794	-13.940517	-10.823031	-6.2554331
-2.5026963	-12.932125	-10.663355	-6.2480741
-2.5358973	-11.754618	-10.010977	-6.5923896
-2.5398979	-10.629557	-9.5090313	-6.6620364
-1.7209986	-10.170602	-9.7128801	-5.9070978
-0.39690647	-10.353739	-10.228664	-5.5007992
0.33918381	-10.418228	-10.137455	-6.4164042
-0.11947781	-10.058047	-9.3125486	-7.9439034
-1.0680121	-9.4340076	-8.5844412	-8.8568048
-1.6247281	-8.6240301	-8.6076984	-8.5771456
-1.8133178	-8.2237682	-9.2867498	-7.6054139
-1.9543383	-8.5789509	-10.055545	-6.6574121
-2.2779839	-9.0143309	-10.395294	-6.134244
-2.7020907	-8.9962721	-10.39467	-6.0571604
-2.864027	-8.4878254	-10.462543	-5.8656306
-2.629904	-7.5619893	-10.684251	-5.2033534
-1.8587863	-6.5067692	-11.123689	-4.1965652
-0.85943764	-5.7039886	-11.618309	-3.2348459
-0.37216371	-5.3083663	-11.519333	-3.0880175
-0.49800548	-4.8824577	-10.97148	-3.7056365
-0.72667599	-3.9778886	-10.406772	-3.8530254
-0.73202819	-3.1546812	-9.3563604	-3.2187338
-0.62036413	-3.4115584	-7.7428274	-2.7685969
-0.32917985	-4.5961924	-6.429985	-2.7857592
0.12876427	-5.6107564	-5.8264728	-2.7999606
0.039645862	-6.1717706	-5.6282315	-2.9433148
-0.97272015	-6.4545712	-5.4137487	-3.675252
-2.2850711	-6.2091975	-4.8592458	-4.440001
-2.872556	-5.7474108	-4.208498	-4.3115458
-2.3392959	-5.9081645	-4.0505705	-3.9344788
-1.4886189	-6.620646	-4.2785039	-4.3829842
-1.0821068	-7.2054696	-4.3868585	-5.1551652
-1.1092765	-7.4372129	-4.4569111	-5.5290461
-1.2663307	-7.3383613	-4.8824096	-5.6047263
-1.3048228	-7.0422959	-5.3919644	-5.3770452
-1.4235666	-6.9927764	-5.3276143	-4.906826
-1.8992859	-7.6595721	-4.8711553	-4.5558639
-2.4258611	-8.5760727	-4.7979922	-4.1685796
-2.5918713	-8.7363653	-5.2107778	-3.3066084
-2.5550361	-8.1511374	-5.4004254	-2.3182819
-2.7392006	-7.5281663	-5.0652423	-2.0251923
-3.3092828	-6.8816705	-4.6781735	-2.2878015
-3.9472673	-5.9337664	-4.626236	-2.1295676
-4.0713277	-4.9848824	-4.9423237	-1.3258307
