#trace90	trace92	trace94
-68.054688	-99.249268	-72.099571
-88.010818	-128.64761	-92.937737
-90.309052	-132.57756	-98.829002
-83.51944	-124.592	-98.682068
-77.1418	-119.80289	-97.0877
-75.051163	-121.17246	-93.570122
-77.109451	-122.22028	-89.948204
-82.022896	-117.84095	-90.550789
-89.455246	-110.5882	-95.509277
-98.081268	-107.99799	-99.501404
-103.22041	-112.66014	-99.856987
-101.95061	-119.4596	-98.691383
-97.013954	-124.19257	-97.042732
-91.582237	-126.16651	-95.326752
-85.020981	-125.59991	-95.80883
-76.598801	-125.86136	-100.57743
-69.95932	-131.54672	-109.87888
-69.485161	-143.29263	-120.08019
-74.807594	-158.98688	-124.84406
-80.985786	-174.10191	-122.39165
-83.275536	-182.112	-119.19425
-83.274834	-182.09116	-123.58001
-89.081917	-180.53203	-134.88786
-103.8301	-182.10274	-142.31296
-118.93519	-183.35516	-138.80223
-125.71807	-179.14923	-129.26004
-125.71085	-169.96191	-121.72617
-126.53035	-158.46945	-119.79125
-133.0791	-146.02719	-125.81501
-140.94344	-135.17058	-141.17984
-141.11414	-128.42969	-159.55806
-132.47395	-125.59144	-169.5894
-121.76183	-126.47412	-167.79289
-113.33056	-132.0284	-163.00166
-105.53594	-141.04311	-167.60248
-96.748848	-149.00031	-183.48897
-88.668587	-151.66191	-198.20552
-82.666435	-151.09747	-200.16484
-78.081589	-153.73267	-192.40163
-73.609482	-161.29947	-184.93036
-69.375343	-168.06702	-180.7662
-67.526733	-168.35588	-176.39882
-69.770988	-162.73987	-169.99092
-75.323982	-154.87695	-163.19469
-82.720222	-146.02699	-157.89801
-91.409843	-136.0276	-154.77248
-100.14709	-127.48227	-153.78922
-106.12695	-124.46299	-153.17523
-108.13658	-127.12575	-149.59087
-109.00542	-130.88042	-141.76602
-113.01702	-132.6787	-131.72772
-120.96036	-133.1631	-121.79929
-127.83121	-130.88686	-111.64451
-128.55699	-123.51391	-100.10898
-125.44039	-113.32066	-88.808586
-124.50842	-103.59602	-81.052094
-125.96606	-94.754547	-79.282471
-124.5826	-86.798073	-82.502541
-118.8101	-80.763451	-84.714096
-113.10178	-78.038742	-80.902596
-110.36246	-79.001755	-73.443619
-107.84431	-81.54921	-67.238037
-103.18344	-82.64753	-62.985893
-98.552216	-81.729515	-59.011345
-98.214508	-80.979973	-55.493965
-106.69362	-83.15168	-55.009315
-127.26431	-88.747444	-59.837246
-157.4521	-94.969345	-67.45575
-185.92235	-97.784981	-72.012024
-200.08324	-93.925125	-71.177475
-197.29202	-84.062302	-67.455551
-183.39125	-74.718346	-64.298889
-165.74243	-71.264458	-64.360352
-150.25049	-72.323006	-71.273132
-139.49669	-74.427216	-86.36631
-132.47574	-77.15921	-102.46934
-125.63416	-82.658775	-109.24824
-116.82422	-91.255119	-104.39646
-109.53196	-98.335846	-95.776466
-110.99862	-98.293449	-92.944664
-124.22523	-91.193932	-96.871658
-142.32535	-82.317047	-101.3363
-155.06708	-76.553062	-103.17284
-159.74379	-74.72966	-104.06202
-160.16422	-75.177589	-104.97691
-158.13748	-76.888298	-103.78481
-152.54457	-79.626938	-99.120598
