#trace82	trace84	trace86	trace88
-64.431335	-77.370377	-98.773117	-69.966492
-93.133896	-102.47282	-123.59493	-90.805489
-107.66918	-114.19633	-121.50798	-95.905014
-107.59152	-123.06296	-106.56636	-92.216026
-100.29615	-136.27975	-92.472252	-86.891037
-95.004349	-151.43823	-84.536446	-83.342712
-97.093872	-161.16743	-82.879745	-81.582138
-104.42591	-163.05193	-83.897797	-81.767868
-108.08239	-160.27328	-82.27037	-85.300949
-102.30785	-155.05417	-76.984993	-91.617889
-91.640999	-149.20555	-71.286133	-96.245232
-84.28125	-145.56879	-68.404259	-95.105156
-83.633987	-144.06931	-67.952499	-89.644981
-87.303543	-144.63899	-64.738876	-84.881454
-90.895012	-150.83554	-56.444649	-83.326317
-92.495499	-162.79318	-48.823505	-80.824181
-92.612152	-173.4623	-48.23962	-71.982094
-91.7985	-176.04283	-55.874496	-58.401302
-90.911346	-169.24884	-70.728249	-47.660358
-91.349792	-156.22809	-90.860023	-46.305298
-93.964157	-145.74501	-110.3288	-54.637562
-98.476028	-148.34581	-121.41014	-68.103424
-102.58994	-166.91479	-123.27904	-82.063972
-103.38309	-192.43791	-123.14054	-93.348885
-100.5989	-210.24205	-125.23266	-98.158829
-95.770233	-212.71799	-126.06471	-93.602982
-88.784851	-202.9063	-122.8121	-83.168579
-79.738396	-187.1432	-118.52103	-74.7799
-70.58992	-170.90471	-115.83787	-73.012932
-62.721424	-157.62611	-112.12789	-75.788315
-57.157379	-147.40955	-104.73818	-78.189682
-56.095612	-140.44052	-95.173775	-78.602394
-61.444523	-136.43028	-86.620888	-78.008118
-70.726509	-131.43271	-83.593285	-75.999161
-75.655098	-123.30442	-88.766083	-72.289383
-70.444504	-114.08698	-97.082077	-67.481857
-60.649006	-105.30038	-100.27235	-60.780712
-57.659546	-97.921928	-95.521278	-51.549767
-64.055489	-92.779297	-86.010994	-42.372055
-70.838814	-89.604774	-77.485771	-37.203815
-71.228539	-87.95224	-74.88224	-37.505943
-70.6408	-86.696457	-78.491089	-41.961269
-78.233627	-83.973511	-82.788071	-47.866791
-91.628838	-79.738243	-82.334587	-52.323292
-100.49164	-76.075203	-76.965485	-54.689854
-102.53438	-73.839012	-70.028427	-56.764114
-102.17238	-71.269058	-64.30024	-59.941963
-100.4091	-67.271873	-59.683247	-63.306484
-97.451759	-62.702049	-55.189758	-64.233551
-98.151413	-60.745419	-51.123653	-61.55534
-104.97904	-65.080605	-48.463924	-57.144711
-113.08919	-75.154594	-48.843628	-52.95863
-118.10143	-86.968193	-52.666672	-49.214455
-120.49234	-97.27652	-57.688927	-44.886971
-121.8891	-105.18147	-63.074749	-38.5821
-122.64786	-110.61854	-73.007088	-31.253992
-123.04239	-111.90872	-91.789261	-26.564352
-125.47668	-108.1058	-113.61888	-25.774323
-131.46982	-102.34432	-124.77013	-26.255495
-137.65558	-97.56321	-121.1141	-26.191542
